name,parkCode,state,longitude,latitude,totalSites,tentOnly,electricalHookups,showers,dumpStation,host,potableWater,firewoodForSale,reservationUrl
277 North Campground,amis,,-100.9081663,29.5123737,18,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10182621
Abrams Creek Campground,grsm,TN,-83.93318327,35.61074665,16,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/273847
Adirondack Shelters,cato,MD,-77.4846272,39.67775042,2,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/233321?q=Adirondack%20Shelters
Afterbay Campground,bica,MT,-107.9416589,45.31543821,22,0,22,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Akers Group Campground,ozar,MO,-91.56154633,37.37645519,4,4,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234442
Alamo Canyon Primitive Campground,orpi,AZ,-112.728093,32.072943,4,4,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/247566
Alley Spring Campground,ozar,MO,-91.449767,37.148223,162,3,28,"['Free - Seasonal', 'Hot - Year Round']",Yes - year round,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234046
Alum Ford Campground,biso,KY,-84.54633757,36.76403375,6,6,0,['None'],No,No,['No water'],No,
American Memorial Park,amme,MP,,,0,0,0,[],,,[],,
Anacapa Island Campground,chis,CA,-119.3677631,34.01434265,7,7,0,['None'],No,Yes - year round,['No water'],No,https://www.recreation.gov/camping/campgrounds/232502
Antelope Point RV Park,glca,,-111.4312363,36.95603058,104,0,104,['None'],Yes - year round,Yes - year round,['Yes - year round'],No,https://www.roverpass.com/c/antelope-point-rv-park-page-az/booking/?slug=antelope-point-rv-park-page-az
Antietam Creek Campground,choh,,-77.74884282,39.42110918,20,20,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/252970
Apgar Campground,glac,MT,-113.9818602,48.52608104,194,0,0,"['None', 'Free - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234669
Army Camp,neri,WV,-81.092319,37.858852,11,0,0,['None'],No,No,['No water'],No,
Aspenglen Campground,romo,CO,-105.5930545,40.39934771,52,13,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/233187
Atwell Mill Campground,seki,CA,-118.6696722,36.46466812,21,21,0,['None'],No,No,['Yes - seasonal'],No,
Au Sable East Group Backpacking Site,piro,,-86.13682,46.670375,1,1,0,[],,,[],,https://www.recreation.gov/camping/campgrounds/256367
Au Sable East Individual Backpacking Sites,piro,,-86.135215,46.669327,6,6,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/256367
Avalanche,glac,MT,-113.8185251,48.67654586,87,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/258796
Azalea Campground,seki,CA,-118.9677768,36.74133435,110,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/10124502
Back Country Camping - Green Run,asis,MD,-75.2135101,38.0799523,1,1,0,['None'],Yes - year round,Yes - seasonal,['No water'],Yes - seasonal,
Back Country Camping - Little Levels,asis,,-75.1727158,38.1521378,1,1,0,['None'],Yes - year round,Yes - seasonal,['No water'],Yes - seasonal,
Back Country Camping - Pine Tree,asis,MD,-75.1883865,38.1432381,1,1,0,['None'],Yes - year round,Yes - seasonal,['No water'],Yes - seasonal,
Back Country Camping - Pope Bay,asis,MD,-75.2341248,38.0477906,1,1,0,['None'],Yes - year round,No,['No water'],No,
Back Country Camping - State Line,asis,,-75.23139,38.04472,1,1,0,['None'],Yes - year round,Yes - seasonal,['No water'],Yes - seasonal,
Back Country Camping - Tingles Island,asis,MD,-75.175432,38.177712,1,1,0,['None'],Yes - seasonal,Yes - seasonal,['No water'],Yes - seasonal,
Backcountry Camping,whsa,MN,-106.264225,32.809869,10,10,0,['None'],No,No,['No water'],No,
Backcountry Camping,care,UT,,,0,0,0,[],,,[],,
Backcountry Camping in the Otis Pike High Dune Wilderness,fiis,,-72.9719285,40.6961609,36,36,0,['None'],No,Yes - seasonal,['No water'],No,https://www.recreation.gov/permits/234768
Backpacking Campsites in the Dunes or Forest,grsa,CO,-105.535601,37.77724,27,27,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/permits/4675316
Baker Creek Campground,grba,,-114.24331,38.98573,37,4,0,['None'],No,Yes - seasonal,['No water'],No,
Bald Eagle Island Hiker-Biker Campsite,choh,MD,-77.557168,39.299834,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Balsam Mountain Campground,grsm,TN,-83.17429877,35.56543625,42,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
Bandy Creek Campground,biso,TN,-84.69712297,36.48866105,149,39,98,['Hot - Year Round'],Yes - year round,Yes - year round,['Yes - year round'],Yes - year round,https://www.recreation.gov/camping/campgrounds/232506?q=Bandy%20Creek
Barry's Landing & Trail Creek Campground,bica,WY,-108.2255711,45.10441283,30,16,0,['None'],No,Yes - seasonal,['No water'],No,http://www.hiddentreasurecharters.com
Bartlett Cove Campground,glba,AK,-135.8944003,58.45078089,33,33,0,['None'],No,No,['Yes - year round'],No,
Bay Campground - South Manitou Island,slbe,MI,-86.102772,45.018882,28,28,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/232456
Bayside Drive-in Campground,asis,MD,-75.1593791,38.2077371,22,0,0,"['Cold- Seasonal', 'Free - Seasonal']",Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232507
Bear Creek Horse Camp,biso,KY,-84.52438967,36.64236975,23,23,23,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/251468?q=Bear%20Creek%20Horse%20Camp
Bear Island Campground,bicy,FL,-81.24747527,26.18323975,40,0,0,[],,,[],,https://www.recreation.gov
Beaver Creek Individual Backpacking Sites,piro,,-86.350163,46.577012,6,6,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/256367
Beaver Island Campground,isro,MI,-89.17433647,47.90406144,3,0,0,['None'],No,No,"['Water', ' but not potable']",No,
Beehives Campground,glca,AZ,-111.496291,36.938243,6,0,0,['None'],No,No,['No water'],No,
Belle Campground,jotr,CA,-116.019762,34.00193735,18,0,0,['None'],No,No,['No water'],No,
Belle Fourche River Campground,deto,WY,-104.7063435,44.58183404,46,3,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Belle Isle Campground,isro,MI,-88.58598761,48.15235178,7,1,0,['None'],No,Yes - seasonal,"['Water', ' but not potable']",No,
Benchmark Individual Backpacking Sites,piro,,-86.200461,46.647014,6,6,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/256367
Bicentennial Campground,goga,CA,-122.5267255,37.82457211,3,3,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272229
Big Creek Campground,grsm,TN,-83.11138107,35.75007765,12,12,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/273821
Big Meadows Campground,shen,VA,-78.4369404,38.5279623,221,51,0,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232459
Big Seboeis Campsite,kaww,,-68.635802,45.932131,1,1,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Big Spring Brook Campsite,kaww,,-68.72568773,46.02879361,1,1,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Big Spring Brook Hut,kaww,NE,-68.77423209,46.03418486,1,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Big Spring Campground,ozar,MO,-90.98586951,36.96099385,123,3,23,"['Hot - Seasonal', 'Free - Seasonal']",Yes - year round,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234044
Big Woods Hiker-Biker Campsite,choh,MD,-77.792591,39.492868,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Birch Island Campground,isro,MN,-88.68562292,48.11010773,2,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Bird Island Basin Campground,pais,TX,-97.313693,27.466794,34,0,0,['None'],No,Yes - seasonal,['No water'],No,
Black Canyon Campground,bica,MI,-107.9626037,45.25091803,17,17,0,['None'],No,Yes - seasonal,['No water'],No,
Black Canyon Group and Equestrian Campground,moja,CA,-115.3829568,35.04862556,2,0,0,['None'],No,No,['Yes - year round'],No,
Black Rock Campground,jotr,,-116.3914968,34.07298224,99,0,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/232473
Blackwoods Campground,acad,ME,-68.20988547,44.30894404,281,221,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232508
Blue Creek,lamr,TX,-101.6638413,35.72307202,50,0,0,['None'],No,No,['No water'],No,
Blue Heron Campground,biso,KY,-84.51850557,36.67753545,45,45,45,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232505?q=Blue%20Heron%20Campground
Blue Ridge Wilderness Campground,gumo,,-104.8717482,31.94825873,5,5,0,['None'],No,No,['No water'],No,https://www.recreation.gov/permits/4675328
Blue West Campground,lamr,,-101.6285619,35.68245589,30,0,0,['None'],No,No,['No water'],No,
Bluff Campground,cong,,-80.81488727,33.83230625,6,6,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10191039
Boca Chita Campground,bisc,FL,-80.1746,25.5231,60,60,0,"['Cold- Seasonal', 'Free - Seasonal']",No,No,"['Water', ' but not potable']",No,
Bonita Canyon Campground,chir,,-109.3550602,32.01155072,26,0,0,['None'],No,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/250901
Boulder Beach Campground (Lake Mead),lake,NV,-114.8019166,36.03695033,135,135,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10075120
Boulder Beach Group Campground (Lake Mead),lake,NV,-114.8025731,36.0375252,5,5,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10048964?tab=info
Bow Creek Primitive Camping,mnrr,,-97.1481,42.7776,5,5,0,['None'],No,No,['No water'],No,
Bowman Lake,glac,MT,-114.2031304,48.8290465,48,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Brandy Creek,whis,CA,-122.5749567,40.61739333,2,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272250
Brandy Creek RV,whis,CA,-122.57476,40.61705,15,0,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10047085?q=Brandy%20Creek%20Rv%20Campground
Brickhill Bluff Wilderness Campsite,cuis,,-81.444,30.8945,4,4,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/253730
Bridalveil Creek Campground,yose,,-119.6242934,37.66365763,115,41,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232453
Bridge Bay Campground,yell,WY,-110.4369237,44.53443775,432,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Brooklyn Campground,neri,WV,-81.027881,37.984096,5,5,0,['None'],No,No,['No water'],No,
Brooks Camp Campground,katm,AK,-155.7775348,58.5597863,60,60,0,['Coin-Operated - Seasonal'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/permits/249991
Buckeye Flat Campground,seki,CA,-118.7641065,36.52243302,27,27,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/249982
Buckhorn Campground Loop A,chic,,-96.98811137,34.42967025,19,0,0,['Hot - Year Round'],Yes - year round,Yes - seasonal,['Yes - seasonal'],No,
Buckhorn Campground Loop B,chic,,-96.99206698,34.42716135,25,0,0,['Hot - Seasonal'],Yes - year round,Yes - seasonal,['Yes - seasonal'],No,
Buckhorn Campground Loop C,chic,,-96.99684113,34.43309287,41,0,24,['Hot - Year Round'],Yes - year round,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/234047
Buckhorn Campground Loop D,chic,,-96.99748192,34.43276655,48,0,24,['Hot - Year Round'],Yes - year round,Yes - year round,['Yes - year round'],No,
Buffalo Point Campground,buff,AR,-92.5555763,36.0715555,108,21,82,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234043
Bugbee Canyon,lamr,TX,-101.590147,35.7248099,10,0,0,['None'],No,No,['No water'],No,
Bullfrog RV & Campground,glca,UT,-110.7210295,37.51996915,98,0,18,"['Hot - Year Round', 'Coin-Operated - Year Round']",Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,http://www.lakepowell.com/rv-camping/bullfrog-rv-campground/
Burns Lake,bicy,FL,-81.22976967,25.89311885,0,0,0,['None'],No,Yes - seasonal,['No water'],No,https://www.recreation.gov/camping/campgrounds/246890
Burnwood Group Campsite,neri,WV,-81.077535,38.073636,1,0,0,['None'],No,No,['Yes - year round'],No,
Bush Mountain Wilderness Campground,gumo,,-104.8766854,31.92641602,5,5,0,['None'],No,No,['No water'],No,https://www.recreation.gov/permits/4675328
Butte Lake Campground,lavo,CA,-121.3057643,40.56480116,101,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234156
Cabin Camp 1 (By Reservation Only),prwi,VA,-77.35605255,38.59701769,1,0,0,['Hot - Year Round'],No,Yes - year round,['Yes - year round'],No,http://www.nps.gov/prwi/planyourvisit/group-cabin-camping.htm
Cabin Camp 2 (By Reservation Only),prwi,,-77.4157374,38.58137504,1,0,0,['Hot - Year Round'],No,Yes - year round,['Yes - year round'],No,http://www.nps.gov/prwi/planyourvisit/group-cabin-camping.htm
Cabin Camp 3 (By Reservation Only),prwi,VA,-77.36493033,38.56367216,13,0,0,['Hot - Year Round'],No,Yes - year round,['Yes - year round'],No,http://www.nps.gov/prwi/planyourvisit/group-cabin-camping.htm
Cabin Camp 4 (By Reservation Only),prwi,VA,-77.35386082,38.59150926,1,0,0,['Hot - Year Round'],No,Yes - year round,['Yes - year round'],No,http://www.nps.gov/prwi/planyourvisit/group-cabin-camping.htm
Cabin Camp 5 (By Reservation Only),prwi,VA,-77.41256789,38.57577906,1,0,0,['Hot - Year Round'],No,No,['Yes - year round'],No,http://www.nps.gov/prwi/planyourvisit/group-cabin-camping.htm
Cacapon Junction Hiker-Biker Campsite,choh,MD,-78.279305,39.621284,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Cades Cove Campground,grsm,TN,-83.77629277,35.60272465,159,31,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232488
Cades Cove Group Campground,grsm,TN,-83.77130987,35.60389165,3,3,0,['None'],Yes - year round,Yes - year round,['Yes - year round'],Yes - seasonal,
Calico Rocks Hiker-Biker Campsite,choh,MD,-77.535582,39.271168,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Callville Bay Campground (Lake Mead),lake,,-114.7286122,36.13780886,52,52,0,['None'],Yes - year round,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10068459
Callville Bay RV Park (Lake Mead),lake,NV,-114.725594,36.143263,0,0,0,[],,,[],,
Camp 4 Campground,yose,,-119.6022531,37.74205411,25,25,0,['Hot - Year Round'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10004152
Camp Greentop,cato,MD,-77.47656473,39.64454144,16,0,0,['Hot - Seasonal'],No,No,['Yes - year round'],Yes - seasonal,http://www.nps.gov/cato/planyourvisit/greentop.htm
Camp Misty Mount,cato,MD,-77.44844895,39.64188515,30,0,0,['Hot - Seasonal'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/233241?q=Camp%20Misty%20Mount
Camp Round Meadow,cato,MD,-77.4876281,39.64491698,1,0,0,['Hot - Year Round'],No,No,['Yes - year round'],Yes - year round,https://www.recreation.gov/camping/campgrounds/251264?q=Camp%20Round%20Meadow
Camping and Huts,kaww,,-68.80146299,46.1249343,24,15,0,[],,,[],,https://www.recreation.gov/camping/campgrounds/10145539
Canaveral National Seashore Backcountry Island Camping,cana,FL,-80.82460297,28.92700096,14,14,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/251854/itinerary
Canyon Campground,yell,WY,-110.4879124,44.73538375,273,0,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Canyon City,klgo,AK,-135.3246672,59.6075624,11,11,0,['None'],No,No,"['Water', ' but not potable']",No,http://www.nps.gov/klgo/planyourvisit/permits.htm
Canyon View Campground,nava,AZ,,,13,13,0,[],,,[],,http://www.nps.gov/nava
Canyon View Campground,seki,CA,-118.6654493,36.78719294,16,0,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234753
Cape Point Campground,caha,NC,-75.53911,35.235775,202,0,0,"['Cold- Seasonal', 'Free - Seasonal']",Yes - seasonal,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/251945
Caribou Island Campground,isro,MI,-88.57220405,48.09457121,3,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Carver Campground,buff,AR,-93.0401838,35.9835736,8,8,0,['None'],No,No,['Yes - seasonal'],No,
Cataloochee Campground,grsm,NC,-83.08554127,35.63118595,27,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/233284
Cave Creek Campground,orca,OR,-123.4316997,42.1142851,17,17,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Cedar Canyon Campground,lamr,TX,-101.24451,35.79584,15,0,0,['None'],No,No,['Yes - year round'],No,
Cedar Pass Campground,badl,SD,-101.950161,43.744154,96,82,10,"['Hot - Seasonal', 'Coin-Operated - Seasonal']",Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.cedarpasslodge.com/campground/
Central Campground,chic,,-96.96555075,34.50317963,0,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234050
Chapel Individual Backpacking Sites,piro,,-86.440929,46.546925,6,6,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/256367
Chimney Hollow Campground,lamr,TX,-101.642234,35.69186029,15,0,0,[],,,[],,
Chippewa Harbor Campground,isro,MI,-88.65103791,48.02936725,7,2,0,['None'],No,No,"['Water', ' but not potable']",No,
Chisel Branch Hiker-Biker Campsite,choh,MD,-77.473011,39.102158,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Chisos Basin Campground,bibe,,-103.3022857,29.27590079,56,0,0,['None'],Yes - year round,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/234038
Chopawamsic Backcountry Area,prwi,VA,-77.40690973,38.55876143,8,8,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/259170
Cimarron Campground,cure,,-107.5555428,38.44430449,21,0,0,['None'],Yes - seasonal,No,['Yes - seasonal'],No,
Circle X Ranch Campground - CLOSED,samo,CA,-118.9265255,34.111279,1,0,0,['None'],No,Yes - year round,['No water'],No,https://www.recreation.gov/camping/campgrounds/233381
City of Rocks Campground,ciro,ID,-113.701382,42.067203,67,49,0,['None'],No,No,['Yes - seasonal'],No,https://www.reserveamerica.com/explore/city-of-rocks-national-reserve/ID/315044/overview
Cliffs Group Backpacking Site,piro,,-86.556577,46.48567,1,1,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/256367
Cliffs Individual Backpacking Sites,piro,,-86.570456,46.473431,3,3,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/256367
Cloverleaf Campground,laro,WA,-118.1468585,48.29711097,7,7,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275085
Coast Campground,pore,CA,-122.8543753,38.01717281,14,14,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/233359
Cold Springs Campground,seki,CA,-118.6124106,36.45130196,40,40,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246864
Cold Springs Campground,chic,,-96.96043276,34.5007809,65,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234049
Colonial Creek North Campground,noca,WA,-121.101,48.691,41,10,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246855?tab=campsites
Colonial Creek South Campground,noca,WA,-121.094,48.687,96,19,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/255201
Colorado River Primitive Camping Between Glen Canyon Dam and Lees Ferry,glca,AZ,-111.5866863,36.86618866,5,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Colter Bay Campground,grte,WY,-110.641379,43.90747805,324,0,13,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258830
Colter Bay RV Park,grte,WY,-110.641324,43.905642,112,0,112,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258831
Colter Bay Tent Village,grte,WY,-110.6349474,43.90415027,66,0,0,['Coin-Operated - Seasonal'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/10099575
Cosby Campground,grsm,TN,-83.20925027,35.75454485,157,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232479
Cottonwood Campground,jotr,CA,-115.8128299,33.74488013,62,0,0,['None'],Yes - year round,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/272299
Cottonwood Campground,thro,,-103.5312686,46.94993451,76,12,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/251160
